OBJECTID,LGDNAME,LGD_ID,LGD_CODE,AreaSqKM,Shape_Length,Shape_Area
1,NORTH DOWN,24,95XX,7.811478999337e-06,10.5905473151144,7.811478999337
2,ARDS,2,95BB,0.175068908986046,2874.78461373335,175068.908986046
3,DOWN,13,95NN,9.77171599548032e-06,12.2721277226416,9.77171599548032
4,NORTH DOWN,24,95XX,4.86934950023332e-06,8.65577810853948,4.86934950023332
5,CRAIGAVON,12,95LL,378.423837609182,105128.634196415,378423837.609182
6,NORTH DOWN,24,95XX,7.49170764925726e-05,35.0759485720548,74.9170764925726
7,BALLYMONEY,5,95EE,418.197051456301,124073.711087576,418197051.456301
8,NEWRY and MOURNE,22,95VV,5.77919205045286e-05,29.6544068716521,57.7919205045286
9,ARDS,2,95BB,0.0116258394465265,977.827049273679,11625.8394465265
10,NEWRY and MOURNE,22,95VV,902.429030919018,222503.875736862,902429030.919018
11,LARNE,16,95QQ,0.000406340564994487,85.5390087623693,406.340564994487
12,NORTH DOWN,24,95XX,0.00010346430151412,45.6275577977411,103.46430151412
13,LIMAVADY,17,95RR,585.952688990189,145321.446201027,585952688.990189
14,NORTH DOWN,24,95XX,2.0483965999906e-05,18.9127893015123,20.483965999906
15,MOYLE,21,95UU,0.00487749225654086,301.443710120971,4877.49225654086
16,OMAGH,25,95YY,1130.44593267588,213367.978512711,1130445932.67588
17,LISBURN,18,95SS,446.836803137809,132556.017858222,446836803.137809
18,NORTH DOWN,24,95XX,3.32118615050499e-05,27.8501573395596,33.2118615050499
19,ARDS,2,95BB,1.00473099574973e-06,4.01428735549416,1.00473099574973
20,ARDS,2,95BB,0.081777637738587,2707.75414473827,81777.637738587
21,NORTH DOWN,24,95XX,3.4314124506669e-05,23.3599601998603,34.314124506669
22,STRABANE,26,95ZZ,861.64766672577,234003.14384112,861647666.72577
23,DOWN,13,95NN,2.58043285033836e-05,18.9176862846152,25.8043285033836
24,NORTH DOWN,24,95XX,6.55445749923635e-06,10.8324441564994,6.55445749923635
25,MOYLE,21,95UU,0.000170361084474421,49.0576097790527,170.361084474421
26,ARDS,2,95BB,1.25311577655719,10461.2035044317,1253115.77655719
27,FERMANAGH,15,95PP,1875.80860141073,327881.435399602,1875808601.41073
28,DOWN,13,95NN,689.544944525029,206810.606884034,689544944.525029
29,ARDS,2,95BB,483.772206227907,158294.103330406,483772206.227907
30,DOWN,13,95NN,0.000181602124969844,55.9514035962383,181.602124969844
31,DUNGANNON,14,95OO,783.599766472468,224363.418755638,783599766.472468
32,MAGHERAFELT,20,95TT,572.804153890425,138314.057243975,572804153.890425
33,DOWN,13,95NN,3.8113125514207e-05,25.0479581215873,38.113125514207
34,LARNE,16,95QQ,347.729634521197,137018.441052367,347729634.521197
35,NORTH DOWN,24,95XX,0.000153474903512307,52.7950885391504,153.474903512307
36,NORTH DOWN,24,95XX,3.21374980105829e-05,25.1937820702891,32.1374980105829
37,NEWTOWNABBEY,23,95WW,150.563790680856,74358.5282061026,150563790.680856
38,BELFAST,7,95GG,114.877453551643,64416.9576772231,114877453.551643
39,MOYLE,21,95UU,479.769838418484,171558.597933377,479769838.418484
40,MOYLE,21,95UU,7.44300930041041e-05,34.2502485156152,74.4300930041041
41,NEWRY and MOURNE,22,95VV,0.004198278878488,339.728294210905,4198.278878488
42,NORTH DOWN,24,95XX,3.12719304952293e-05,19.8462032856691,31.2719304952293
43,BANBRIDGE,6,95FF,452.634890879779,135131.682281497,452634890.879779
44,DOWN,13,95NN,6.66989410096403e-05,29.9745353981877,66.6989410096403
45,DOWN,13,95NN,0.000175866158981236,60.6570708964898,175.866158981236
46,ARDS,2,95BB,1.16634699790373e-06,4.33644340668774,1.16634699790373
47,ANTRIM,1,95AA,576.859406692731,135581.350222965,576859406.692731
48,CASTLEREAGH,9,95II,85.1360121900742,62618.1754721693,85136012.1900742
49,DERRY,19,95MM,387.344752432213,126907.752650823,387344752.432213
50,LARNE,16,95QQ,1.48611459961186e-05,15.1832166859103,14.8611459961186
51,MOYLE,21,95UU,0.00213038661404663,185.174039395197,2130.38661404663
52,ARDS,2,95BB,0.00943678037047489,488.459702625418,9436.78037047489
53,MOYLE,21,95UU,14.411804901184,40416.0701680283,14411804.901184
54,DOWN,13,95NN,1.5560867495753e-05,14.2339142578933,15.560867495753
55,NORTH DOWN,24,95XX,81.5007376609005,69566.2717571054,81500737.6609005
56,COLERAINE,10,95JJ,485.503446972184,143519.069566644,485503446.972184
57,ARDS,2,95BB,3.00185610082012e-05,26.1270577398687,30.0185610082012
58,NORTH DOWN,24,95XX,2.17554565067825e-05,20.2428889470231,21.7554565067825
59,COOKSTOWN,11,95KK,622.43681327896,145852.407758103,622436813.27896
60,ARDS,2,95BB,0.013903975743454,510.416472522712,13903.975743454
61,NORTH DOWN,24,95XX,0.000400563341006888,83.2242125210438,400.563341006888
62,ARDS,2,95BB,1.11850399905881e-06,4.25053948185545,1.11850399905881
63,NORTH DOWN,24,95XX,6.8318686997021e-05,46.821809396713,68.318686997021
64,ARDS,2,95BB,0.00603167746102317,464.599868244074,6031.67746102317
65,ARMAGH,3,95CC,670.596817530255,153055.660938732,670596817.530255
66,CARRICKFERGUS,8,95HH,81.8870772671715,54379.3702462294,81887077.2671715
67,BALLYMENA,4,95DD,632.021397339382,154878.255341005,632021397.339382
68,NORTH DOWN,24,95XX,0.000413405276529404,100.933926938899,413.405276529404
